document_id	courier_id	year	record_number	pages	catalogue_title	authors	filename
2528	78266	1971	52802	[24, 25, 26, 27]	On cyclones and other natural disasters; reflections of a geophysicist	Fournier d'Albe, E.M.	1971_078266_52802.txt
2529	78266	1971	52803	[28, 29, 30, 31, 32]	Latent talent; the anagram a parent can solve	Nikitin, Boris	1971_078266_52803.txt
2530	78268	1971	52916	[4, 5, 6, 7, 8, 9, 10]	Early Christian manuscripts from the sands of the Nile: where the Dead Sea Scrolls left off	Robinson, James M.	1971_078268_52916.txt
2531	78268	1971	52917	[11]	Coptic voices from the past	Brabyn, Howard	1971_078268_52917.txt
2532	78268	1971	52920	[12, 13, 14, 15, 16, 32]	Trieste; world rendez-vous for physicists	Behrman, Daniel	1971_078268_52920.txt
2533	78268	1971	52921	[17, 18, 19, 20, 21, 22]	The Stones with the raised hands: the funerary art of the Bogomils	Krleza, Miroslav	1971_078268_52921.txt
2534	78268	1971	52923	[23, 24, 25, 26, 27]	The Culture of machine living	Lerner, Max	1971_078268_52923.txt
2535	78268	1971	52924	[28, 29, 30, 31]	Making learning real fun for blind children	Freund, Elizabeth	1971_078268_52924.txt
2536	78269	1971	52944	[4, 5]	A Message to our 3.5 billion neighbours on planet earth from 2,200 environmental scientists		1971_078269_52944.txt
2537	78269	1971	52945	[6, 7, 8, 9, 10, 11, 12, 13]	Kogai: environmental disruption in Japan, the story of 3 cities	Tsuru, Shigeto	1971_078269_52945.txt
2538	78269	1971	52946	[14, 15, 16, 17]	Pittsburgh: from smoky city to smog-less skies	Stockton, Edward L.	1971_078269_52946.txt
2539	78269	1971	52947	[20, 21, 22, 23]	The 'Pollution' fight before the U.S. courts	Sax, Joseph L.	1971_078269_52947.txt
2540	78269	1971	52948	[24, 25, 26, 27]	Environmental control and economic systems	Brabyn, Howard	1971_078269_52948.txt
2541	78269	1971	52950	[26, 27, 28, 29]	Ukraine's nation-wide movement to protect its natural resources	Voltovski, Boris	1971_078269_52950.txt
2542	78269	1971	52951	[30, 31, 32]	Industrialization without pollution: a challenge to the developing world	Sachs, Ignacy	1971_078269_52951.txt
